Region_ID,District_ID,Village_ID,Lat,Long,alokasi_unit
1203,120320,1203202036,1.5167050403142495,99.16664798620452,10
1203,120320,1201132006,1.5978317515969158,99.28030584647558,10
1203,120320,1203032008,1.4902693569964154,99.11895553532365,10
1203,120320,1203202034,1.5255969098295838,99.15822610555627,10
1203,120304,1203042060,1.6041056779107654,99.29363660710722,10
1277,127706,1202052002,1.4625567281827179,99.26335369960111,11
1277,127703,1277032005,1.4017035050080835,99.3005129541393,18
1205,120504,1205042014,3.425691414768961,98.4919237164834,10
1205,120504,1205042015,3.365480772955799,98.48768066878638,10
1205,120504,1205042003,3.424260749288357,98.43379243913056,10
1205,120501,1205012006,3.542959838597214,98.22579160226147,10
1208,120821,1208212011,3.109677239257562,99.23377908402536,10
1208,120804,1208042017,2.9118419123477586,98.98957736129088,24
1208,120809,1208092004,2.8653845565424447,98.97466700742557,26
1216,121601,1216012021,2.3174822524614775,98.50810983338845,10
1216,121601,1216012020,2.3190318680411375,98.45682926924678,10
1216,121601,1216012019,2.259576721438796,98.57232442266694,10
1216,121601,1216012005,2.449652450405802,98.39807605543189,10
1216,121601,1216012006,2.4110102387123855,98.4103673161501,10
1216,121606,1216062015,2.197486103931073,98.7759979416703,10
1216,121606,1216062028,2.2087216439760624,98.73082909251626,10
1216,121608,1216082012,2.043705816358231,98.6415672348796,11
1216,121608,1216082009,2.209034641769995,98.62965219199289,10
1216,121609,1208062013,2.180848274866715,98.3258072837889,10
1216,121609,1216092016,2.1062292835643457,98.52792408708379,10
1216,121609,1216092014,2.2139137516426555,98.58627720269587,10
1216,121609,1216092012,2.1747638716921243,98.42490096082699,10
1216,121602,1203072005,2.2873536811317274,98.64006602428285,10
1216,121610,1216102009,2.2269473230938006,98.49913299993234,10
1216,121610,1216102004,2.2957142669760615,98.35019939830518,10
1216,121610,1216102001,2.2624444864539117,98.37327505349965,9
1216,121605,1216052020,2.2411847257822997,98.92584873934344,20
1216,121605,1216052021,2.265812695065727,98.90833123925394,10
1218,121803,1218022031,3.550865132594634,99.04659762189144,20
1218,121803,1218032004,3.560262138527762,99.09020439615743,41
1218,121801,1218012006,3.627473804143328,99.01443762318077,10
1218,121801,1218012004,3.622065569932131,98.95207888027022,13
1218,121801,1218012003,3.6556490697998787,98.95813842788172,10
1218,121802,1218022025,3.5982190071361324,99.02870671307119,11
1218,121802,1218022020,3.5210185101592937,98.96909711880181,16
1209,120931,1209312002,2.8100047610254717,99.66278278203345,10
1209,120920,1209201004,2.955056742498862,99.65040686648523,10
1209,120920,1209201002,2.987902051953309,99.67136901526474,10
1209,120923,1209232009,2.9743139984584395,99.67499128135918,10
1217,121707,1217072005,2.618702062190821,98.7979123394041,10
1217,121707,1217072008,2.6248232353170806,98.79235180292602,10
1217,121703,1217032013,2.5168654964013486,98.86897339189275,10
1217,121703,1217032005,2.5012278423765246,98.8824813294427,10
1217,121708,1217082023,2.649687279971363,98.72912193924941,6
1217,121708,1217082017,2.68891192429207,98.70230137787556,5
1217,121708,1203072005,2.637850467875495,98.73193068359095,4
1217,121708,1217082003,2.6838831881094625,98.73565179599363,5
1217,121708,1217081028,2.614285275725962,98.67200447566718,10
1217,121709,1217092002,2.383031687059,98.8109626028091,10
1217,121709,1201182004,2.679265681421404,98.84187790832414,10
1217,121709,1217092006,2.487948751649026,98.74123001875382,4
1217,121709,1217092007,2.492347643692046,98.74210258806497,6
1217,121706,1217062003,2.6674600238294093,98.61658116891962,7
1217,121706,1213062002,2.6429040539407778,98.60066461533708,3
1217,121702,1217022002,2.51642885270935,98.94807504023629,10
1217,121702,1213072005,2.5316867825256035,98.92478097328762,10
