1. SAMOSIR,,,,,,,,,,
Nama Kawasan (area_name),Lingkungan (environment),Kelurahan (villages),Kecamatan (district_id),Kabupaten/Kota (region_id),Total Luas (total_area),Total Penduduk (total_population),Tingkat Kekumuhan (slum_value),Tahun (year_inspected),Latitude,Longitude
Panyabungan Julu,Panyabungan Julu 1,Panyabungan Julu,121301,1213,8.84,3000,27,2023,0.8641028,99.5565417
Sigalapang Julu,Sigalapang Julu 1,Sigalapang Julu,121301,1213,6.22,1920,51,2023,0.8491861,99.5814139
Gunung Tua Raya,"Banjar Pariduri, Banjar Pasar Pagi, Banjar Janogari","Gunung Tua Jae, Gunung Tua Tonga, Ipar Bondar",121301,1213,8.67,4925,35,2023,0.8840833,99.5574806
Dalan Lidang,"RT 1, RT 2, RT 3, RT 5, RT 6",Dalan Lidang,121301,1213,8.83,3520,49,2023,0.8174722,99.5588694
Pasar Huta Bargot,Pasar Huta Bargot 1,Pasar Huta Bargot,121319,1213,4.92,775,46,2023,0.8737833,99.5140917
Bangun Sejati Binanga,Bangun Sejati Binanga 1,"Bangun Sejati, Binanga",121319,1213,6.11,1470,39,2023,0.8897750,99.5075000
Sikara-Kara IV,Sikara-Kara IV 1,Sikara-Kara IV,121316,1213,3.24,990,39,2023,0.7064389,99.1059639
Siabu,Lingkungan II,Siabu,121306,1213,1.43,1199,35,2023,1.0159306,99.0623083
Hurabara I,Hurabara I,Huraba I,121306,1213,2.51,670,41,2023,1.0069667,99.5049917
Ujung Marisi,Ujung Marisi 1,Ujung Marisi,121308,1213,2.16,215,41,2023,1.0909250,99.4558611
Huta Pungkut Jae,Huta Pungkut Jae 1,Huta Pungkut Jae,121308,1213,0.85,200,43,2023,0.6400000,99.7533222
Huta Pungkut Tonga,Huta Pungkut Tonga 1,Huta Pungkut Tonga,121308,1213,2.57,840,41,2023,0.6395250,99.7546306
,,,,,,,,,,
3. PEMATANG SIANTAR,,,,,,,,,,
Bah Sorma 1,RT001-RW003,Bah Sorma,127207,1272,2.29,253,22,2023,2.97392,99.04626
Bah Sorma 2,RT003-RW001,Bah Sorma,127207,1272,1.17,119,21,2023,2.96705,99.03233
Bah Sorma 3,RT004-RW003,Bah Sorma,127207,1272,2.80,205,19,2023,2.96567,99.03214
Banjar 1,RT001-RW006,Banjar,127202,1272,4.56,382,17,2023,2.96255,99.05915
Banjar 2,RT001-RW007,Banjar,127202,1272,2.32,277,24,2023,2.96434,99.05901
Martaba 1,RT008-RW003,Martoba,127203,1272,0.72,191,24,2023,2.96632,99.06351
Martaba 2,RT009-RW001,Martoba,127203,1272,0.64,192,24,2023,2.96452,99.06002
Tomuan 1,RT020-RW007,Tomuan,127201,1272,2.77,226,18,2023,2.95641,99.07476
Tomuan 2,RT022-RW008,Tomuan,127201,1272,1.16,622,18,2023,2.95667,99.07986
Suka Dame 1,RT001-RW001,Suka Dame,127203,1272,0.46,212,17,2023,2.96982,99.07398
Suka Dame 2,RT001-RW007,Suka Dame,127203,1272,1.04,93,17,2023,2.96905,99.06619
Suka Dame 3,RT001-RW009,Suka Dame,127203,1272,1.05,243,17,2023,2.96967,99.06433
Suka Darne 4,RT002-RW001,Suka Dame,127203,1272,0.53,98,17,2023,2.9702,99.07393
Suka Dame 5,RT002-RW009,Suka Dame,127203,1272,1.36,312,18,2023,2.969,99.06388
Suka Dame 6,RT003-RW001,Suka Dame,127203,1272,0.80,245,17,2023,2.97045,99.07361
Suka Dame 7,RT003-RW009,Suka Dame,127203,1272,0.52,150,25,2023,2.96805,99.06384
Suka Dame 8,RT004-RW009,Suka Dame,127203,1272,1.17,139,19,2023,2.9684,99.0642
Mekar Nauli 1,RT002-RW002,Mekar Nauli,127205,1272,0.79,117,24,2023,2.95597,99.08915
Mekar Nauli 2,RT002-RW005,Mekar Nauli,127205,1272,1.82,136,30,2023,2.9494,99.09387
Mekar Nauli 3,RT003-RW003,Mekar Nauli,127205,1272,1.10,88,25,2023,2.95643,99.08925
Mekar Nauli 4,RT003-RW005,Mekar Nauli,127205,1272,1.26,193,26,2023,2.9479,99.09179
Mekar Nauli 5,RT004-RW005,Mekar Nauli,127205,1272,0.34,171,32,2023,2.94804,99.09349
Siopat Suhu 1,RT004-RW002,Siopat Suhu,127201,1272,1.42,84,17,2023,2.9651,99.08038
Siopat Suhu 2,RT005-RW002,Siopat Suhu,127201,1272,0.40,257,24,2023,2.96523,99.07942
Siopat Suhu 3,RT006-RW002,Siopat Suhu,127201,1272,0.40,161,29,2023,2.96522,99.07893
Asuhan 1,RT002-RW001,Asuhan,127201,1272,1.33,270,18,2023,2.96998,99.07958
Asuhan 2,RT004-RW002,Asuhan,127201,1272,1.46,298,21,2023,2.97059,99.07895
Asuhan 3,RT005-RW002,Asuhan,127201,1272,0.61,209,20,2023,2.97127,99.07862
Asuhan 4,RT006-RW002,Asuhan,127201,1272,0.74,241,21,2023,2.97013,99.07812
Asuhan 5,RT008-RW003,Asuhan,127201,1272,0.89,297,20,2023,2.97196,99.08008
Asuhan 6,RT009-RW003,Asuhan,127201,1272,1.35,305,24,2023,2.97414,99.08146
Asuhan 7,RT010-RW004,Asuhan,127201,1272,2.02,276,27,2023,2.97382,99.08073
Asuhan 8,RT011-RW004,Asuhan,127201,1272,0.63,185,21,2023,2.97481,99.0801
Asuhan 9,RT012-RW004,Asuhan,127201,1272,1.53,282,20,2023,2.97385,99.08
Asuhan 10,RT013-RW004,Asuhan,127201,1272,1.24,281,20,2023,2.97217,99.07958
Asuhan 11,RT014-RW004,Asuhan,127201,1272,0.34,257,18,2023,2.97239,99.07926
Tambun Nabolon,RT006-RW002,Tambun Nabolon,127206,1272,3.85,139,25,2023,3.00684,99.09542
Naga Pita 1,RT001-RW005,Naga Pita,127206,1272,1.68,210,17,2023,2.98034,99.07392
Naga Pita 2,RT002-RW001,Naga Pita,127206,1272,1.74,388,17,2023,2.97656,99.06751
Naga Pita 3,RT003-RW005,Naga Pita,127206,1272,0.97,308,17,2023,2.98068,99.074
Tanjung Tongah 1,RT002-RW002,Tanjung Tongah,127206,1272,6.21,298,17,2023,3.01005,99.07748
Tanjung Tongah 2,RT002-RW004,Tanjung Tongah,127206,1272,1.46,161,16,2023,3.00377,99.08056
Tanjung Tongah 3,RT003-RW003,Tanjung Tongah,127206,1272,0.68,118,16,2023,3.00254,99.07977
Tanjung Tongah 4,RT003-RW004,Tanjung Tongah,127206,1272,2.14,387,18,2023,3.01024,99.08386
Kahean 1,RT001-RW003,Kahean,127203,1272,2.00,179,28,2023,2.9756,99.07197
Kahean 2,RT001-RW005,Kahean,127203,1272,1.07,336,22,2023,2.97564,99.07474
Kahean 3,RT002-RW003,Kahean,127203,1272,1.97,189,22,2023,2.97488,99.07246
Kahean 4,RT003-RW005,Kahean,127203,1272,2.36,297,24,2023,2.97632,99.07416
Kahean 5,RT003-RW007,Kahean,127203,1272,0.99,270,25,2023,2.97315,99.0752
Kahean 6,RT004-RW003,Kahean,127203,1272,1.38,266,22,2023,2.97614,99.07609
Kahean 7,RT004-RW007,Kahean,127203,1272,1.46,90,28,2023,2.97169,99.0746
Pardomuan 1,RT006-RW003,Pardomuan,127201,1272,0.97,415,20,2023,2.96672,99.07364
Pardomuan 2,RT007-RW003,Pardomuan,127201,1272,2.37,479,22,2023,2.96625,99.07253
Pardomuan 3,RT008-RW004,Pardomuan,127201,1272,1.64,376,21,2023,2.96507,99.07279
Pardomuan 4,RT010-RW004,Pardomuan,127201,1272,0.90,409,16,2023,2.96397,99.07197
Simarito 1,RT001-RW004,Simarito,127202,1272,0.55,444,23,2023,2.9525,99.04985
Simarito 2,RT001-RW008,Simarito,127202,1272,0.74,169,21,2023,2.95126,99.04984
Simarito 3,RT002-RW001,Simarito,127202,1272,2.27,366,20,2023,2.95372,99.04866
Simarito 4,RT002-RW002,Simarito,127202,1272,1.80,295,25,2023,2.95473,99.0483
Simarito 5,RT002-RW003,Simarito,127202,1272,2.31,157,18,2023,2.95262,99.04797
Simarito 6,RT002-RW005,Simarito,127202,1272,2.87,238,23,2023,2.95159,99.04813
Simarito 7,RT002-RW007,Simarito,127202,1272,0.15,238,28,2023,2.95093,99.05303
Simarito 8,RT002-RW008,Simarito,127202,1272,0.48,142,21,2023,2.95119,99.05051
Simarito 9,RT003-RW001,Simarito,127202,1272,1.15,276,25,2023,2.95429,99.04981
Simarito 10,RT003-RW007,Simarito,127202,1272,0.69,164,23,2023,2.95111,99.05215
Simarito 11,RT003-RW008,Simarito,127202,1272,0.67,231,19,2023,2.95092,99.05116
Bantan 1,RT001-RW004,Bantan,127202,1272,1.52,172,33,2023,2.96117,99.05489
Bantan 2,RT001-RW007,Bantan,127202,1272,1.34,446,28,2023,2.96214,99.05545
Bantan 3,RT001-RW009,Bantan,127202,1272,0.51,290,19,2023,2.9653,99.05506
Bantan 4,RT002-RW003,Bantan,127202,1272,1.68,297,21,2023,2.95959,99.05477
Bantan 5,RT002-RW004,Bantan,127202,1272,0.93,279,24,2023,2.96006,99.05433
Bantan 6,RT002-RW007,Bantan,127202,1272,1.23,334,20,2023,2.96492,99.05386
Bantan 7,RT003-RW003,Bantan,127202,1272,0.92,225,22,2023,2.9596,99.05349
Bantan 8,RT003-RW004,Bantan,127202,1272,0.35,181,17,2023,2.96068,99.05511
Bantan 9,RT003-RW006,Bantan,127202,1272,1.59,275,16,2023,2.96333,99.05562
Bantan 10,RT004-RW004,Bantan,127202,1272,0.96,242,21,2023,2.96437,99.05527
Bantan 11,RT004-RW005,Bantan,127202,1272,1.28,197,18,2023,2.96335,99.05425
Bantan 1 2,RT004-RW007,Bantan,127202,1272,1.56,229,22,2023,2.96251,99.05473
Simalungun 1,RT002-RW002,Simalungun,127204,1272,0.91,149,16,2023,2.95368,99.06599
Simalungun 2,RT015-RW005,Simalungun,127204,1272,1.26,195,17,2023,2.95472,99.06679
Simalungun 3,RT016-RW006,Simalungun,127204,1272,0.28,73,21,2023,2.95407,99.0667
Aek Nauli 1,RT001-RW001,Aek Nauli,127204,1272,2.27,258,18,2023,2.94203,99.04783
Aek Nauli 2,RT007-RW003,Aek Nauli,127204,1272,0.56,300,24,2023,2.94213,99.04846
Aek Nauli 3,RT009-RW003,Aek Nauli,127204,1272,1.85,182,22,2023,2.94237,99.04936
Aek Nauli 4,RT012-RW004,Aek Nauli,127204,1272,1.12,128,18,2023,2.94096,99.04938
Karo,RT011-RW004,Karo,127204,1272,2.73,171,20,2023,2.9487,99.06892
Naga Huta 1,RT002-RW001,Naga Huta,127208,1272,0.95,118,19,2023,2.93295,99.03754
Naga Huta 2,RT008-RW003,Naga Huta,127208,1272,1.82,266,18,2023,2.93185,99.04487
Naga Huta 3,RT009-RW003,Naga Huta,127208,1272,1.10,177,17,2023,2.93516,99.04594
Naga Huta 4,RT010-RW003,Naga Huta,127208,1272,2.94,192,17,2023,2.93352,99.04329
Pematang Marihat 1,RT003-RW003,Pematang Marihat,127208,1272,3.07,323,31,2023,2.9299,99.07848
Pematang Marihat 2,RT011-RW004,Pematang Marihat,127208,1272,1.25,553,16,2023,2.92624,99.07267
Bane 1,RT001-RW001,Bane,127203,1272,1.94,228,19,2023,2.96817,99.06078
Bane 2,RT001-RW002,Bane,127203,1272,2.05,383,16,2023,2.96814,99.05889
Bane 3,RT001-RW007,Bane,127203,1272,3.83,377,17,2023,2.97329,99.06123
Bane 4,RT002-RW003,Bane,127203,1272,2.39,201,16,2023,2.97027,99.05693
Bane 5,RT002-RW006,Bane,127203,1272,0.65,173,16,2023,2.97075,99.0544
Bane 6,RT002-RW005,Bane,127203,1272,0.56,170,23,2023,2.97391,99.05936
Bane 7,RT003-RW006,Bane,127203,1272,1.42,154,22,2023,2.97281,99.05748
Bane 8,RT003-RW007,Bane,127203,1272,2.72,154,22,2023,2.97206,99.05483
Bane 9,RT003-RW008,Bane,127203,1272,2.05,335,30,2023,2.97116,99.05518
Bane 10,RT004-RW008,Bane,127203,1272,2.28,321,32,2023,2.97521,99.06093
Naga Pitu 1,RT001-RW003,Naga Pitu,127206,1272,0.70,176,22,2023,2.97709,99.07808
Naga Pitu 2,RT002-RW003,Naga Pitu,127206,1272,0.33,143,22,2023,2.97698,99.07857
Naga Pitu 3,RT003-RW003,Naga Pitu,127206,1272,0.49,184,21,2023,2.9778,99.07833
Sigulang Gulang 1,RT001-RW005,Sigulanggulang,127203,1272,0.96,271,17,2023,2.97511,99.0659
Sigulang Gulang 2,RT002-RW005,Sigulanggulang,127203,1272,1.71,221,17,2023,2.97640,99.06399
Sigulang Gulang 3,RT003-RW005,Sigulanggulang,127203,1272,2.21,365,17,2023,2.97646,99.06325
,,,,,,,,,,
4. PAKPAK BHARAT,,,,,,,,,,
Boangmanalu,"Dusun Kuta Payung, Kuta Tengah, Lae Terondi, I Pasar Salak, V Kuta Ketang, I Napasengkut, IV Parsabahan, Kuta Tengah","Boangmanalu, Salak I, Salak II",121503,1215,16.58,0,23,2024,2.56778913991878,98.331999769716
Kecupak,"Dusun Delamdam I, Kuta Tengah I, Kuta Tengah II, Saba I, Saba II","Kecupak I, Kecupak II",121505,1215,11.65,0,24,2024,2.55359635508121,98.2931690224302
Kecupak I,"Dusun III Kuta Tao, Gendan I, Gendan II, I Sigelanggang, II Sipat","Aornakan II, Kecupak II",121505,1215,11.29,0,23,2024,2.55383981527052,98.300435982782
Salak II,Dusun III Persabahen,Salak II,121503,1215,0.81,0,17,2024,2.55652471383839,98.3243335134344
Salak IA,Dusun II Pelnas,Salak I,121503,1215,1.40,0,56,2024,2.5614855080729,98.3214320613248
Salak IB,Dusun IV Lae Cilum,Salak I,121503,1215,1.01,0,31,2024,2.5614855080729,98.3214320613248
Salak,Dusun Sosor,Boangmanalu ,121503,1215,6.42,0,21,2024,2.5614855080729,98.3214320613248
Kecupak IIA,Dusun Lembeng Kersik,Kecupak II,121505,1215,1.41,0,37,2024,2.55383981527052,98.300435982782
Traju,Dusun Traju,Siempat Rube I,121508,1215,1.78,0,30,2024,2.57750741311916,98.3356114352132
Siempat Rube,"Dusun I Jambu Rea, III Gading Marasras",Siempat Rube I,121508,1215,4.96,0,16,2024,2.57553051478201,98.3490299900855
Siempat Rube I,Dusun Tanjung Pinang,Siempat Rube I,121508,1215,1.88,0,52,2024,2.57553051478201,98.3490299900855
Siempat Rube II,"Dusun I Jambu Mbellang, II Jambu Mbellang II",Siempat Rube II,121508,1215,4.41,0,37,2024,2.56856433145136,98.3493826695576
Sukaramai,"Dusun Sukaramai, Pongkolan, Sukaramai Kota","Huta Saga, Sukaramai",121502,1215,8.45,0,29,2024,2.64759390301205,98.3002891928751
Sukaramai I,Dusun Sukaramai atas,Sukaramai,121502,1215,2.74,0,29,2024,2.64759390301205,98.3002891928751
Tanjung Meriah,"Dusun I Sibande, II Sibande",Tanjung Meriah,121501,1215,6.16,0,22,2024,2.64856970411874,98.239947950795
Maholida,"Dusun I Kembang Ronding, II Pantekken",Maholida,121501,1215,3.06,0,37,2024,2.64771675794954,98.2491780043804
Salak IIA,Dusun II Barisan,Salak II,121503,1215,8.13,0,23,2024,2.55652471383839,98.32433351343444
Salak IIB,"Dusun I Pasar Salak, I Napasengkut","Salak I, Salak II",121503,1215,4.95,0,23,2024,2.55652471383839,98.32433351343444
Salak IIC,Dusun II Pelnas,Salak I,121503,1215,1.84,0,30,2024,2.55652471383839,98.32433351343444
,,,,,,,,,,
5. HUMBANG HASUNDUTAN,,,,,,,,,,
Hutajulu,"Dusun 1, 2, 3",Hutajulu,121602,1216,12.5,198,21,2024,2.3738211,98.7048242
Parbotihan,"Dusun 1, 2, 3",Parbotihan,121608,1216,10.42,632,23,2024,2.1375214,98.6059386
Lumban Tobing,"Dusun 1, 2",Lumban Tobing,121606,1216,13.33,797,21,2024,2.2570953,98.7464261
Sigupar,"Dusun 1, 2, 3",Sigumpar,121605,1216,13.2,700,22,2024,2.2908639,98.8786844
Sijarango 1,"Dusun 1, 2, 3",Sijarango 1,121609,1216,12,871,31,2024,2.1987336,98.5268117
Sosor Gonting,"Dusun 1, 2",Sosor Gonting,121606,1216,13.95,628,22,2024,2.2823689,98.7718694
Pasar Dolok Sanggul,"Pasar Dolok Sanggul LK 1, 2, 3, 4, 5, 6, 7",Kelurahan Pasar Dolok Sanggul,121606,1216,22.44,6795,17,2024,2.2609131,98.7510103
Bonanionan,"Dusun 2, 3",Bonanionan,121606,1216,11.07,2322,17,2024,2.2609631,98.7462947
Pasaribu,"Dusun 2, 3, 4, 6",Pasaribu,121606,1216,17.02,4005,16,2024,2.2623625,98.7580406
Sirisirisi,"Dusun 1, 2, 3",Sirisirisi,121606,1216,27.83,2162,22,2024,2.2753603,98.7489481
Pargaulan Parpea,"Sibuntuon Parpea Dusun 1, 2, Pargaulan Dusun 1, 2, 3","Pargaulan, Sibuntuon Parpea",121605,1216,27.74,1813,20,2024,2.2631097,98.8603108
Sihonongan,"Dusun 1, 3, 5, 6",Sihonongan,121604,1216,15.17,1882,19,2024,2.3056917,98.9343250
Marbun Toruan,"Dusun 1, 2",Marbun Toruan,121603,1216,26.19,1151,19,2024,2.3235319,98.8247078
Simamora,"Dusun 1, 3",Simamora,121603,1216,9.87,773,26,2024,2.3095442,98.8168836
Tipang,"Dusun 1, 3",Tipang,121603,1216,27.5,1764,20,2024,2.3558536,98.8247208
Hutapaung,"Dusun 1, 3, 4",Hutapaung,121602,1216,18.29,1567,24,2024,2.3343083,98.7230861
Sihotang Hasugian Tonga,"Dusun 1, 2, 3, 4, 5, 6",Sihotang Hasugian Tonga,121601,1216,18.47,972,24,2024,2.3289681,98.4529703
Bonan Dolok 1,"Dusun 1, 2, 3, 4, 5",Bonan Dolok I,121607,1216,15.86,1014,32,2024,2.1593667,98.6857000
Aek Nauli,"Aek Nauli I (Dusun 2, 3), Aek Nauli II (Dusun 1, 2, 3)","Aek Nauli 1 , Aek Nauli 2",121602,1216,24.78,2694,24,2024,2.2940392,98.6982281
Matiti,"Matiti I (Dusun 1, 2, 3), Matiti  II (Dusun 1, 2, 3)","Matiti 1, Matiti 2",121606,1216,32.97,4023,25,2024,2.2591289,98.7076458
Sihite,"Sihite I (Dusun 1, 2, 3), Sihite II (Dusun 1 dan 2), Lumban Tobing (Dusun 1)","Lumban Tobing, Sihite 1 , Sihite 2",121606,1216,16.32,2299,29,2024,2.2585014,98.7385692
Pakkat Hauagong dan Hauagong,"Pakkat Hauagong Dusun 1, 2, 3, 4, 5, 6, Hauagong Dusun 2","Pakkat Hauagong, Hauagong",121609,1216,25.48,4982,26,2024,2.1514378,98.7385692
Nagasaribu II,"Dusun 1, 2, 3",Nagasaribu II,121605,1216,7.93,1285,36,2024,2.2620083,98.9109583
Lumban Barat,"Dusun 1, 2, 3, 4, 5, 6",Lumban Barat,121604,1216,7.81,1802,30,2024,2.2927028,98.9288389
Pearung,"Dusun 1, 2, 3, 4",Pearung,121604,1216,6.78,980,25,2024,2.3142222,98.8900722
Marbun Tonga Marbun Dolok,"Dusun 1, 2, 3",Marbun Tonga Marbun Dolok,121603,1216,3.91,1264,38,2024,2.3171333,98.8155972
Simangulampe,"Dusun 1, 2, 3",Simangulampe,121603,1216,3.02,606,49,2024,2.3336111,98.8393222
Hutajulu,"Dusun 1, 2, 3",Hutajulu,121608,1216,5.71,453,46,2024,2.1558833,98.6529083
Manalu,"Dusun 1, 2, 3, 4, 5, 6",Manalu,121609,1216,8.21,1198,28,2024,2.1674972,98.5441111
Pansur Batu,"Dusun 1, 2, 3",Pansur Batu,121602,1216,4.1,1199,45,2024,2.3311778,98.7017111
Tarabintang,"Dusun 1, 2, 3, 4, 5, 6, 7",Tarabintang,121610,1216,8.27,1946,42,2024,2.2696722,98.4114250
Simbara,"Dusun 1, 2, 3",Simbara,121610,1216,2.39,616,24,2024,2.2604361,98.3561167
Sionom Hudon Runggu,"Dusun 1, 2, 3, 4",Sionom Hudon Runggu,121601,1216,7.39,579,23,2024,2.3483028,98.4218694
Baringin Natam,"Dusun 1, 2, 3, 4, 5, 6",Baringin Natam,121601,1216,9.74,558,27,2024,2.2852250,98.5436944
,,,,,,,,,,
7. NIAS,,,,brok sidimpuan kenapa?,,gapapa Dit,,,,
Dahana,Dusun I,Dahana,120411,1204,2.58,368,47,2023,0.9410469,97.8656325
Sisarahili Bawolato I,Dusun I,Sisarahili Bawolato,120411,1204,2.84,473,46,2023,0.9369603,97.8692403
Sisarahili Bawolato II,Dusun II,Sisarahili Bawolato,120411,1204,1.19,204,51,2023,0.9325136,97.8712428
Sisarahili Bawolato III,Dusun IV,Sisarahili Bawolato,120411,1204,2.04,259,54,2023,0.9311164,97.8730111
Sisarahili Bawolato IV,Dusun V,Sisarahili Bawolato,120411,1204,1.34,234,47,2023,0.92873,97.8758286
Hiliwaele I,Dusun I,Hiliwaele I,120421,1204,1.80,195,44,2023,1.178055,97.5441461
Hilisebua,Dusun III,Hilisebua,120406,1204,1.72,528,59,2023,1.1179431,97.7421667
Hiliweto Gido,Dusun I,Hiliweto Gido,120406,1204,7.01,778,46,2023,1.1168056,97.7243803
Somi I,Dusun I,Somi,120406,1204,2.18,361,46,2023,1.1340553,97.7632058
Somi II,Dusun II,Somi,120406,1204,2.25,403,50,2023,1.1318317,97.7606483
Somi III,Dusun III,Somi,120406,1204,2.00,235,45,2023,1.1369156,97.7568719
Somi IV,Dusun IV,Somi,120406,1204,4.27,578,33,2023,1.1275594,97.7550544
Ahedano,Dusun I,Ahedano,120410,1204,2.72,530,57,2023,1.0195536,97.7623517
Maliwaa,Dusun II,Maliwaa,120410,1204,2.22,242,51,2023,1.0557375,97.7930678
Oladano,Dusun II,Oladano,120410,1204,2.07,368,47,2023,1.0149106,97.7592036
Orahili Zuzundao,Dusun III,Orahili Zuzundao,120410,1204,1.25,177,46,2023,1.0442733,97.8035119
Tetehosi I,Dusun I,Tetehosi,120410,1204,7.56,1409,35,2023,1.0283536,97.7716133
Tetehosi II,Dusun II,Tetehosi,120410,1204,9.52,1685,51,2023,1.0257422,97.7713433
Tetehosi III,Dusun III,Tetehosi,120410,1204,2.11,1187,51,2023,1.025765,97.7764114
Baruzo (Sogaeadu) ,Dusun I,Baruzo,120435,1204,3.10,415,49,2023,1.1029844,97.7328714
Sogaeadu,Dusun I,Sogaeadu,120435,1204,2.23,311,52,2023,1.0914617,97.7363717
Tulumbaho I,Dusun I,Tulumbaho,120435,1204,2.55,343,62,2023,1.0876239,97.7386167
Tulumbaho II,Dusun II,Tulumbaho,120435,1204,2.18,298,57,2023,1.0836236,97.7384256
Holi,Dusun I,Holi,120427,1204,3.40,719,48,2023,0.9848778,97.7163886
Somolo-Molo I,Dusun I,Somolo-Molo,120429,1204,1.76,122,43,2023,1.0304319,97.7083144
Somolo-Molo II,Dusun II,Somolo-Molo,120429,1204,1.47,124,53,2023,1.0337997,97.7090481
,,,,,,,,,,
8. GUNUNGSITOLI,,,,,,,,,,
Cinta Damai,Lingkungan 3,Pasar Gunung Sitoli,127801,1278,4.72,410,45,2023,1.2863944,97.6176656
Saombo,"Lingkungan 1, 2",Saombo,127801,1278,3.75,527,32,2023,1.2929656,97.6099014
KBN,Lingkungan 4,Ilir,127801,1278,6.10,692,30,2023,1.2771403,97.6287472
Gg. Ikhlas,Lingkungan 1,Pasar Gunung Sitoli,127801,1278,2.83,587,38,2023,1.2872936,97.6201428
Jl. Kelapa,"Lingkungan 3, 8",Ilir,127801,1278,8.31,1329,38,2023,1.2862408,97.6245119
Supomo Bengkok,Dusun 3,Pasar Gunung Sitoli,127801,1278,2.50,270,44,2023,1.2846736,97.6140972
Ampera/Lasara Bahili,Dusun 3,Pasar Gunung Sitoli,127801,1278,5.75,562,35,2023,1.2814325,97.6124933
,,,,,,,,,,
9. BATU BARA,,,,,,,,,,
Pangkalan Dodek,"Dusun 2, 3, 5",Pangkalan Dodek,121901,1219,3.68,1685,58,2022,3.41300556783028,99.3205335454883
Sentang,"Dusun 2, 3",Desa Sentang,121912,1219,4.68,665,46,2022,3.19566375700528,99.5892406891056
Benteng,"Dusun 1, 2, 3, 4, 5",Desa Benteng,121905,1219,5.2,2310,33,2022,3.1729927755012,99.5603525386382
Labuhan Ruku,Lingkungan 1,Labuhan Ruku,121905,1219,5.45,1515,37,2022,3.19844998718756,99.5601932314056
Kapal Merah,"Dusun 8, 9",Desa Kapal Merah,121912,1219,5.49,340,61,2022,3.14325345058149,99.7192896661252
Bantdar Rahmat,"Dusun 1, 2 Dusun 2 Bahari, Dusun 3 Bahari, Dusun 4 Sejahtera",Desa Bandar Rahmad,121906,1219,5.75,1870,66,2022,3.22474391943995,99.5809759908624
Bagan Dalam ,"Dusun 9, 10",Desa Bagan Dalam,121906,1219,6,1870,40,2022,3.21229766301238,99.5923756396656
Benteng 1,"Dusun 1, 2, 3, 4, 5",Desa Benteng 1,121905,1219,6.26,2310,31,2022,3.17348163936554,99.560338277883
Bogak,"Dusun Bakau,  Beringin,  Cemara,  Kenari,  Kenanga",Desa Bogak,121906,1219,7.06,2645,58,2022,3.22238334172421,99.5766681199174
Tali Air Permai,"Dusun 3, 4, 5, 6",Desa Tali Air Permai,121912,1219,7.23,1485,48,2022,3.17874293037424,99.6491129671093
