Kelurahan(village_id),Kecamatan(district_id),Kabupaten/Kota(region_id),Alokasi Unit(unit_count),Tahun(year_given),Status,Latitude,Longitude
1203202036,120320,1203,10,2025,Selesai,1.5167050403142495,99.16664798620452
1201132006,120320,1203,10,2025,Selesai,1.5978317515969158,99.28030584647558
1203032008,120320,1203,10,2025,Selesai,1.4902693569964154,99.11895553532365
1203202034,120320,1203,10,2025,Selesai,1.5255969098295838,99.15822610555627
1203042060,120304,1203,10,2025,Selesai,1.6041056779107654,99.29363660710722
1202052002,127706,1277,11,2025,Selesai,1.4625567281827179,99.26335369960111
1277032005,127703,1277,18,2025,Selesai,1.4017035050080835,99.3005129541393
1205042014,120504,1205,10,2025,Selesai,3.425691414768961,98.4919237164834
1205042015,120504,1205,10,2025,Selesai,3.365480772955799,98.48768066878638
1205042003,120504,1205,10,2025,Selesai,3.424260749288357,98.43379243913056
1205012006,120501,1205,10,2025,Selesai,3.542959838597214,98.22579160226147
1208212011,120821,1208,10,2025,Selesai,3.109677239257562,99.23377908402536
1208042017,120804,1208,24,2025,Selesai,2.9118419123477586,98.98957736129088
1208092004,120809,1208,26,2025,Selesai,2.8653845565424447,98.97466700742557
1216012021,121601,1216,10,2025,Selesai,2.3174822524614775,98.50810983338845
1216012020,121601,1216,10,2025,Selesai,2.3190318680411375,98.45682926924678
1216012019,121601,1216,10,2025,Selesai,2.259576721438796,98.57232442266694
1216012005,121601,1216,10,2025,Selesai,2.449652450405802,98.39807605543189
1216012006,121601,1216,10,2025,Selesai,2.4110102387123855,98.4103673161501
1216062015,121606,1216,10,2025,Selesai,2.197486103931073,98.7759979416703
1216062028,121606,1216,10,2025,Selesai,2.2087216439760624,98.73082909251626
1216082012,121608,1216,11,2025,Selesai,2.043705816358231,98.6415672348796
1216082009,121608,1216,10,2025,Selesai,2.209034641769995,98.62965219199289
1208062013,121609,1216,10,2025,Selesai,2.180848274866715,98.3258072837889
1216092016,121609,1216,10,2025,Selesai,2.1062292835643457,98.52792408708379
1216092014,121609,1216,10,2025,Selesai,2.2139137516426555,98.58627720269587
1216092012,121609,1216,10,2025,Selesai,2.1747638716921243,98.42490096082699
1203072005,121602,1216,10,2025,Selesai,2.2873536811317274,98.64006602428285
1216102009,121610,1216,10,2025,Selesai,2.2269473230938006,98.49913299993234
1216102004,121610,1216,10,2025,Selesai,2.2957142669760615,98.35019939830518
1216102001,121610,1216,9,2025,Selesai,2.2624444864539117,98.37327505349965
1216052020,121605,1216,20,2025,Selesai,2.2411847257822997,98.92584873934344
1216052021,121605,1216,10,2025,Selesai,2.265812695065727,98.90833123925394
1218022031,121803,1218,20,2025,Selesai,3.550865132594634,99.04659762189144
1218032004,121803,1218,41,2025,Selesai,3.560262138527762,99.09020439615743
1218012006,121801,1218,10,2025,Selesai,3.627473804143328,99.01443762318077
1218012004,121801,1218,13,2025,Selesai,3.622065569932131,98.95207888027022
1218012003,121801,1218,10,2025,Selesai,3.6556490697998787,98.95813842788172
1218022025,121802,1218,11,2025,Selesai,3.5982190071361324,99.02870671307119
1218022020,121802,1218,16,2025,Selesai,3.5210185101592937,98.96909711880181
1209312002,120931,1209,10,2025,Selesai,2.8100047610254717,99.66278278203345
1209201004,120920,1209,10,2025,Selesai,2.955056742498862,99.65040686648523
1209201002,120920,1209,10,2025,Selesai,2.987902051953309,99.67136901526474
1209232009,120923,1209,10,2025,Selesai,2.9743139984584395,99.67499128135918
1217072005,121707,1217,10,2025,Selesai,2.618702062190821,98.7979123394041
1217072008,121707,1217,10,2025,Selesai,2.6248232353170806,98.79235180292602
1217032013,121703,1217,10,2025,Selesai,2.5168654964013486,98.86897339189275
1217032005,121703,1217,10,2025,Selesai,2.5012278423765246,98.8824813294427
1217082023,121708,1217,6,2025,Selesai,2.649687279971363,98.72912193924941
1217082017,121708,1217,5,2025,Selesai,2.68891192429207,98.70230137787556
1203072005,121708,1217,4,2025,Selesai,2.637850467875495,98.73193068359095
1217082003,121708,1217,5,2025,Selesai,2.6838831881094625,98.73565179599363
1217081028,121708,1217,10,2025,Selesai,2.614285275725962,98.67200447566718
1217092002,121709,1217,10,2025,Selesai,2.383031687059,98.8109626028091
1201182004,121709,1217,10,2025,Selesai,2.679265681421404,98.84187790832414
1217092006,121709,1217,4,2025,Selesai,2.487948751649026,98.74123001875382
1217092007,121709,1217,6,2025,Selesai,2.492347643692046,98.74210258806497
1217062003,121706,1217,7,2025,Selesai,2.6674600238294093,98.61658116891962
1213062002,121706,1217,3,2025,Selesai,2.6429040539407778,98.60066461533708
1217022002,121702,1217,10,2025,Selesai,2.51642885270935,98.94807504023629
1213072005,121702,1217,10,2025,Selesai,2.5316867825256035,98.92478097328762
1203011001,121702,1217,10,2025,Selesai,2.474127860689426,98.94631628005035
1201112004,121701,1217,10,2025,Selesai,2.4881544799273065,98.96466101197426
1217012014,121701,1217,10,2025,Selesai,2.572961553207904,98.85744584370488
1217042009,121704,1217,10,2025,Selesai,2.5037344974566307,98.86634421081898
1202032003,121704,1217,10,2025,Selesai,2.6655571686719526,98.74177813462958
1217052002,121705,1217,10,2025,Selesai,2.5258898099519125,98.58039038350341
1217052008,121705,1217,4,2025,Selesai,2.557427320649462,98.6507481175979
