Kawasan (area),Lingkungan (environment),Kelurahan (villages),Kecamatan (district_id),Kabupaten/Kota (region_id),Total Luas (total_area),Total Penduduk (total_population),Tingkat Kekumuhan (slum_value),Latitude,Longitude
Tanjung Tongah 4,RT003-RW004,Tanjung Tongah,127206,1272,2.14,387,18,3.01024,99.08386
Kahean 1,RT001-RW003,Kahean,127203,1272,2.00,179,28,2.9756,99.07197
Kahean 2,RT001-RW005,Kahean,127203,1272,1.07,336,22,2.97564,99.07474
Kahean 3,RT002-RW003,Kahean,127203,1272,1.97,189,22,2.97488,99.07246
Kahean 4,RT003-RW005,Kahean,127203,1272,2.36,297,24,2.97632,99.07416
Kahean 5,RT003-RW007,Kahean,127203,1272,0.99,270,25,2.97315,99.0752
Kahean 6,RT004-RW003,Kahean,127203,1272,1.38,266,22,2.97614,99.07609
Kahean 7,RT004-RW007,Kahean,127203,1272,1.46,90,28,2.97169,99.0746
Pardomuan 1,RT006-RW003,Pardomuan,127201,1272,0.97,415,20,2.96672,99.07364
Pardomuan 2,RT007-RW003,Pardomuan,127201,1272,2.37,479,22,2.96625,99.07253
Pardomuan 3,RT008-RW004,Pardomuan,127201,1272,1.64,376,21,2.96507,99.07279
Pardomuan 4,RT010-RW004,Pardomuan,127201,1272,0.90,409,16,2.96397,99.07197
Simarito 1,RT001-RW004,Simarito,127202,1272,0.55,444,23,2.9525,99.04985
Simarito 2,RT001-RW008,Simarito,127202,1272,0.74,169,21,2.95126,99.04984
Simarito 3,RT002-RW001,Simarito,127202,1272,2.27,366,20,2.95372,99.04866
Simarito 4,RT002-RW002,Simarito,127202,1272,1.80,295,25,2.95473,99.0483
Simarito 5,RT002-RW003,Simarito,127202,1272,2.31,157,18,2.95262,99.04797
Simarito 6,RT002-RW005,Simarito,127202,1272,2.87,238,23,2.95159,99.04813
Simarito 7,RT002-RW007,Simarito,127202,1272,0.15,238,28,2.95093,99.05303
Simarito 8,RT002-RW008,Simarito,127202,1272,0.48,142,21,2.95119,99.05051
Simarito 9,RT003-RW001,Simarito,127202,1272,1.15,276,25,2.95429,99.04981
Simarito 10,RT003-RW007,Simarito,127202,1272,0.69,164,23,2.95111,99.05215
Simarito 11,RT003-RW008,Simarito,127202,1272,0.67,231,19,2.95092,99.05116
Bantan 1,RT001-RW004,Bantan,127202,1272,1.52,172,33,2.96117,99.05489
Bantan 2,RT001-RW007,Bantan,127202,1272,1.34,446,28,2.96214,99.05545
Bantan 3,RT001-RW009,Bantan,127202,1272,0.51,290,19,2.9653,99.05506
Bantan 4,RT002-RW003,Bantan,127202,1272,1.68,297,21,2.95959,99.05477
Bantan 5,RT002-RW004,Bantan,127202,1272,0.93,279,24,2.96006,99.05433
Bantan 6,RT002-RW007,Bantan,127202,1272,1.23,334,20,2.96492,99.05386
Bantan 7,RT003-RW003,Bantan,127202,1272,0.92,225,22,2.9596,99.05349
Bantan 8,RT003-RW004,Bantan,127202,1272,0.35,181,17,2.96068,99.05511
Bantan 9,RT003-RW006,Bantan,127202,1272,1.59,275,16,2.96333,99.05562
Bantan 10,RT004-RW004,Bantan,127202,1272,0.96,242,21,2.96437,99.05527
Bantan 11,RT004-RW005,Bantan,127202,1272,1.28,197,18,2.96335,99.05425
Bantan 1 2,RT004-RW007,Bantan,127202,1272,1.56,229,22,2.96251,99.05473
Simalungun 1,RT002-RW002,Simalu Ngun,127204,1272,0.91,149,16,2.95368,99.06599
Simalungun 2,RT015-RW005,Simalu Ngun,127204,1272,1.26,195,17,2.95472,99.06679
Simalungun 3,RT016-RW006,Simalu Ngun,127204,1272,0.28,73,21,2.95407,99.0667
Aek Nauli 1,RT001-RW001,Aek Nauli,127204,1272,2.27,258,18,2.94203,99.04783
Aek Nauli 2,RT007-RW003,Aek Nauli,127204,1272,0.56,300,24,2.94213,99.04846
Aek Nauli 3,RT009-RW003,Aek Nauli,127204,1272,1.85,182,22,2.94237,99.04936
Aek Nauli 4,RT012-RW004,Aek Nauli,127204,1272,1.12,128,18,2.94096,99.04938
Karo,RT011-RW004,Karo,127204,1272,2.73,171,20,2.9487,99.06892
Naga Huta 1,RT002-RW001,Naga Huta,127208,1272,0.95,118,19,2.93295,99.03754
Naga Huta 2,RT008-RW003,Naga Huta,127208,1272,1.82,266,18,2.93185,99.04487
Naga Huta 3,RT009-RW003,Naga Huta,127208,1272,1.10,177,17,2.93516,99.04594
Naga Huta 4,RT010-RW003,Naga Huta,127208,1272,2.94,192,17,2.93352,99.04329
Pematang Marihat 1,RT003-RW003,Pematang Marihat,127208,1272,3.07,323,31,2.9299,99.07848
Pematang Marihat 2,RT011-RW004,Pematang Marihat,127208,1272,1.25,553,16,2.92624,99.07267
Bane 1,RT001-RW001,Bane,127203,1272,1.94,228,19,2.96817,99.06078
Bane 2,RT001-RW002,Bane,127203,1272,2.05,383,16,2.96814,99.05889
Bane 3,RT001-RW007,Bane,127203,1272,3.83,377,17,2.97329,99.06123
Bane 4,RT002-RW003,Bane,127203,1272,2.39,201,16,2.97027,99.05693
Bane 5,RT002-RW006,Bane,127203,1272,0.65,173,16,2.97075,99.0544
